Período;Região;Instituição;Localização Geográfica;Nº Episódios Cirúrgicos Ambulat com Procedimentos Ambulatorizáveis;Nº Episódios Cirúrgicos Ambulat e Intern com Proced Ambulatorizáveis;% Cir. Ambulatório (GDH) para Procedimentos Ambulatorizáveis
2013-01;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;209;268;78.0
2013-01;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;577;746;77.3
2013-01;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;389;461;84.4
2013-01;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;5;31;16.1
2013-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;109;146;74.7
2013-01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;53;77;68.8
2013-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;239;391;61.1
2013-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;197;231;85.3
2013-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;296;457;64.8
2013-01;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;233;286;81.5
2013-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;286;377;75.9
2013-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;748;891;84.0
2013-02;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;113;113;100.0
2013-02;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;164;249;65.9
2013-02;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;18;52;34.6
2013-02;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1219;1584;77.0
2013-02;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;591;792;74.6
2013-02;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;1001;1222;81.9
2013-02;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;940;1181;79.6
2013-02;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;714;887;80.5
2013-03;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1094;1323;82.7
2013-03;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;55;55;100.0
